NAME	RAJD	DECJD	F0	DIST
J0359+5414	59.85837	54.24881	12.5901403227	*
B0403-76	60.46563	-76.136931	1.83400700914	1.014
J0402+4825	60.6693	48.432642	1.95238351856	1.849
J0405+3347	61.25	33	60.6	1.668
J0406+30	61.5	30	384.6	1.641
B0402+61	61.6253358	61.6448356	1.681870311647	4.545
J0407+1607	61.978912	16.12122	38.90787282632	1.337
J0408+551	62	55	0.544366	1.573
J0408+552	62	55	1.32626	1.661
J0410-31	62.66	-31.12	0.53234	0.415
J0413+58	63.25	58	1.455604	1.63
J0414+31	63.5	31	0.9	1.842
B0410+69	63.981889	69.902747	2.559409722714	1.368
J0417+35	64.43	35.75	1.52812	1.48
J0417+61	64.2	61.1	2.27127	1.837
J0418-4154	64.5157283	-41.904006	1.32079643042	2.519
J0418+5732	64.64111	57.5397	0.1101517115	*
J0418+6635	64.7	66.59028	343.642612	2.206
J0419+44	64.75	44	0.805802	1.687
J0420-5022	65.00813	-50.38003	0.2896029058	*
J0421-0345	65.38982	-3.75184	0.462682676962	2.196
J0421+3255	65.3883	32.931	1.1109814769	1.939
J0426+4933	66.528387	49.560683	1.084040535116	1.795
J0435+2749	68.965908	27.81714	3.064857408039	1.521
J0437-4715	69.316234057	-47.2525307539	173.687945812184	0.157
J0447-04	71.8	-4.6	0.456999	0.675
J0448-2749	72.1732	-27.82965	2.220010446257	1.809
J0449-7031	72.2736	-70.52547	2.08696826121	49.7
B0447-12	72.536588	-12.80197	2.283031270545	1.774
J0451-67	73	-67.3	4.0740783	49.7
B0450-18	73.1421071	-17.9898253	1.821695294426	0.4
J0453+1559	73.4392237	15.9892517	21.8427329517106	0.522
J0454+4529	73.74712	45.49631	0.7198714353	0.765
B0450+55	73.5322942	55.7281769	2.93487997706	1.18
B0456-69	73.9481	-69.85953	3.12087740359	49.7
J0456-69	74.125	-69.16667	8.5416754	49.7
J0456-7031	74.0104	-70.5185	1.24979366967	49.7
J0457+23	74.28	23.57	1.98059	1.517
J0457-6337	74.2825	-63.6251	0.40047870082	1.333
J0457-69	74.25833	-69.76667	4.3217007	49.7
J0458-0505	74.65467	-5.0847	0.53093220067	1.938
J0458-67	74.74583	-67.71667	0.881912	49.7
J0459-0210	74.96642	-2.16851	0.88255323638	0.16
J0501+4516	75.27817	45.27609	0.173547943	5
B0458+46	75.519004	46.90169	1.566010110074	1.319
B0502-66	75.7105	-66.2997	1.44665164324	49.7
J0506+50	76.55875	50.50833	294.985251	1.383
J0509+0856	77.34264521	8.9402847	246.55815713199	0.817
J0509+3801	77.3824504	38.02169	13.06483380156	1.562
J0511-6508	77.98542	-65.14347	3.10499386985	0.818
J0514-4002A	78.5278863	-40.0469147	200.37770740535	11.44
J0514-4002B	78.528	-40.04664	355.075809	11.44
J0514-4002C	78.52788	-40.04706	179.700978	11.44
J0514-4002D	78.528	-40.04672	219.56789	11.44
J0514-4002E	78.5278	-40.04658	178.702264	11.44
J0514-4002F	78.5279	-40.0468	230.978889	11.44
J0514-4002G	78.5276	-40.04669	262.964132	11.44
J0514-4002H	78.5275	-40.0467	181.616752	11.44
J0514-4002I	78.5281	-40.04672	30.623932	11.44
J0514-4002J	78.5279	-40.0467	150.763618	11.44
J0514-4002K	78.5283	-40.0467	213.12873	11.44
J0514-4002L	78.5283	-40.0467	337.974855	11.44
J0514-4002M	78.528	-40.047	208.428863	11.44
J0514-4002N	78.5279	-40.0464	179.600927	11.44
J0514-4408	78.717458	-44.143717	3.122357486324	0.966
J0517+2212	79.321446	22.21442	4.497079963269	0.159
J0518+5125	79.60894	51.43297	1.095876377422	1.337
J0518+5416	79.72167	54.28056	2.93942447332	1.434
J0519+44	79.75	44	1.941748	1.421
J0519-6932	79.94549	-69.539856	3.79922415527	49.7
J0520-2553	80.150772	-25.88675	4.138350423366	2.379
J0521-68	80.43333	-68.58333	2.3072271	49.7
J0522-6847	80.5961	-68.78394	1.48250955451	49.7
J0523-7125	80.95275	-71.43127	3.100775	49.7
B0523+11	81.485201	11.2553	2.8213711397405	1.841
J0525-6607	81.5038	-66.07675	0.12427	*
B0525+21	82.21777	22.0011	0.266984253314	1.215
J0529-0715	82.287388	-7.25734	1.450907946316	7.002
B0529-66	82.46208	-66.87775	1.02486651379	49.7
J0530-39	82.5	-39	1.1	25
J0532-6639	83.248	-66.66036	1.55583240504	49.7
J0532-69	83.01667	-69.76667	0.8701738	49.7
J0533+0402	83.35762	4.03325	1.03840237842	2.172
J0533-4524	83.30788	-45.41394	6.35790456429	1.239
J0533+6759	83.4797504	67.9881914	227.88594920884	2.392
J0534-13	83.5	-13	1	6.226
B0531+21	83.63322	22.014461	29.946923	2
J0534+34	83.62	34.1	*	0.403
J0534-6703	83.6507	-67.0636	0.55018664142	49.7
J0535-66	83.91667	-66.86667	4.7500442	49.7
J0535-6935	83.8	-69.58	4.9872493	49.7
B0538-75	84.12842	-75.73189	0.802660896055	0.143
J0537-69	84.42917	-69.35	8.8799527	49.7
J0537-6910	84.4476	-69.17219	62.0261895958	49.7
J0538+2817	84.604405	28.2858781	6.985276348019	1.3
J0540+3207	85.15465	32.12703	1.9074109781353	1.421
B0540-69	85.04667	-69.331714	19.7746860321	49.7
J0540-7125	85.1283	-71.42539	0.7775961516	0.547
J0542-68	85.64583	-68.26667	2.351895	49.7
B0540+23	85.79025	23.4847	4.06545762605	1.565
J0543-6851	85.9696	-68.857	1.41052838124	49.7
J0544+20	86	20.83	*	1.283
J0545-03	86.2	-3.2	0.931159	2.062
J0546+2441	86.61983	24.6892	0.351635938793	1.517
J0550+09	87.6	9.85	0.573066	1.804
J0554+3107	88.52088	31.1281	2.1507181757	*
J0555+3948	88.8	39.8	0.87191119	1.065
J0555-7056	88.7577	-70.946	1.20796568461	49.7
J0556-67	89.10417	-67.48333	1.2649433	47.489
J0557+1550	89.3810383	15.835013	391.18012787837	1.834
J0557-2948	89.387498	-29.8046678	22.91337153767	4.269
B0559-57	90.1937	-57.9483	0.4422108838	0.553
B0559-05	90.49573	-5.4641308	2.52544914331	2.083
J0605+3757	91.2730996	37.959989	366.57507505747	0.215
J0608+00	92.2	0.65	0.929195	1.311
J0608+1635	92.21526	16.58594	1.057255958637	1.651
J0609+2130	92.4953587	21.50079	17.953961540991	0.574
J0610-2100	92.55665306	-21.00774976	258.978475098116	3.26
J0611+04	92.8	4.1	0.597218	1.662
J0611+1436	92.8277	14.6144	3.6991898342	0.807
J0611+30	92.82	30.27	0.7081702	1.08
B0609+37	93.202861	37.36038	3.3559037259175	0.535
J0612+37216	93.18376	37.3612	2.2529049469	1.083
J0613-0200	93.433232924	-2.013121504	326.600561967271	0.78
J0613+3731	93.30063	37.5273	1.61499182415	0.186
B0611+22	93.5708575	22.4991244	2.9854313983	3.571
J0614-3329	93.5431158	-33.4983661	317.5944552995	0.63
J0614+83	94	83.2	0.96228	3.699
J0621+0336	95.29675	3.61264	3.704333874448	1.701
J0621+1002	95.34214317	10.0440931	34.6574066214041	0.425
J0621+2514	95.2952258	25.234397	367.4055519177	1.641
J0621-55	95.18	-56.08	*	0.38
J0622+3749	95.54379	37.8204	3.00112633651	*
J0623+0340	95.94483	3.66856	1.62930241737	1.375
B0621-04	96.083451	-4.41401	0.9623930704244	1.938
J0625+10	96.44	10.27	2.006433	1.637
J0627+0649	96.973452	6.831703	2.88581493632	1.794
J0627+0706	96.93405	7.10917	2.10134828979	2.289
J0627+16	96.8	16.2	0.458716	1.932
J0628+0909	97.15076	9.15386	0.8055282493188	1.771
B0626+24	97.2738637	24.2615406	2.098095022707	3.125
J0630-0046	97.61232	-0.76829	1.469346135924	2.109
J0630+19	97.5	19.62	0.800929	0.982
B0628-28	97.70585164	-28.57854967	0.80358811986	0.32
J0631+0646	97.96825	6.77061	9.0107183491	4.583
J0631+1036	97.864683	10.61736	3.4746348982	2.105
J0633+0632	98.43421	6.543	3.3625291588	1.355
J0633+1746	98.475637	17.770252	4.217639623538	0.19
J0633-2015	98.28692	-20.25197	0.30738862302	3.676
J0635+0533	98.825	5.553	29.53643	*
J0636-23	99	-23	2.1	2.815
J0636-3044	99.2875	-30.845	253.4366	0.679
J0636-4549	99.1406	-45.82573	0.503880543511	0.383
J0636+5128	99.02019777	51.48332374	348.55923169999	0.714
J0641+07	100.3	7.7	*	1.257
J0645+5158	101.496176292	51.970809202	112.949723190664	1.22
J0645+80	101.5	80.2	1.52005	5.145
J0646+0905	101.62927	9.09711	1.10630072318	2.504
J0646-54	101.59333	-54.8825	398.406375	0.367
J0647+0913	101.81533	9.23319	0.80981257819	2.666
J0648-27	102	-27	0.2	9.987
J0652-0142	103.04627	-1.70842	1.082187933412	2.318
J0653+4706	103.274221	47.107478	210.526316	0.913
B0643+80	103.31287	80.86673	0.8234244415576	2.348
J0656-2228	104.12586	-22.47376	0.816490218825	1.623
J0656-5449	104.20413	-54.820811	5.45979980322	0.372
J0658+0022	104.56337	0.37647	1.775268966869	2.301
B0656+14	104.950817	14.23872	2.59788422918	0.288
J0659-36	104.8	-36	1.6	3.916
B0655+64	105.157508	64.303111	5.110620788131	0.413
J0702-4956	105.6637	-49.94283	1.501515953	0.538
J0709+0458	107.28485579	4.98097058	29.045300004132	1.203
J0709-5923	107.38555	-59.398778	2.06071533429	0.371
J0711+0931	107.90075	9.5236	0.823661832618	1.168
J0711-6830	107.97575018	-68.513156817	182.117234620048	0.106
J0719-2545	109.78075	-25.75006	1.025930674143	9.81
J0720-3125	110.104008	-31.430579	0.119173666	0.4
J0721-2038	110.42877	-20.635295	64.3401484567	2.68
J0725-1635	111.25168	-16.59606	2.356759664005	2.778
J0726-2612	111.53383	-26.2106	0.29050272617	2.9
J0729-1448	112.31854	-14.8102	3.9736354978	2.681
B0727-18	112.3847371	-18.6117344	1.96016803372	2
J0732+2314	113.156315	23.248392	244.490583045	1.151
J0733-2345	113.3525	-23.7656	0.55671547188	4.122
J0734-1559	113.690396	-15.9884	6.4	*
J0736-6304	114.0834	-63.0711	0.20563971182	0.104
J0737-2202	114.43363	-22.03481	3.12142625514	3.059
J0737-3039A	114.46353508	-30.66130953	44.054069392744	1.1
J0737-3039B	114.46353508	-30.66130953	0.36056035506	1.1
B0736-40	114.634425	-40.71095	2.66723044134	1.6
J0738+6904	114.59419	69.07223	0.14646235983	1.124
J0740+6620	115.19080319	66.342644349	346.531996493213	1.15
B0740-28	115.704408	-28.378822	5.9965594774	2
